id	tamil	transliteration	english_gloss
01	நான் நாளைக்கு ஊருக்குப் போகிறேன்	naan naalaikku uurukku pogiren	I am going to town tomorrow
02	அந்தப் புத்தகம் மேசையின் மேல் இருக்கிறது	andha puthagam mesaiyin mel irukkiradhu	That book is on the table
03	இன்று காலை நான் பேருந்தில் வந்தேன்	indru kaalai naan perundhil vandhen	I came by bus this morning
04	அவன் ஏழு மணிக்கு வீட்டுக்கு வருவான்	avan ezhu manikku veettukku varuvaan	He will come home at seven o'clock
05	எனக்கு ஒரு கோப்பை தண்ணீர் வேண்டும்	enakku oru koppai thanneer vendum	I need a cup of water
06	நாங்கள் நாளை சந்தைக்குப் போக வேண்டும்	naangal naalai sandhaikku poga vendum	We have to go to the market tomorrow
07	அந்தக் கடை ஆறு மணிக்கு மூடும்	andha kadai aaru manikku moodum	That shop closes at six o'clock
08	என் தம்பி பள்ளிக்குச் சென்றான்	en thambi pallikku sendraan	My younger brother went to school
09	மேசை மேல் இரண்டு பேனாக்கள் உள்ளன	mesai mel irandu penaakkal ullana	There are two pens on the table
10	நான் இந்த வேலையை மாலைக்குள் முடிப்பேன்	naan indha velaiyai maalaikkul mudippen	I will finish this work by evening
11	அவர்கள் நேற்று சென்னைக்குப் போனார்கள்	avargal netru chennaikku ponaargal	They went to Chennai yesterday
12	இந்த ரயில் மதுரைக்குப் போகிறது	indha rayil maduraikku pogiradhu	This train goes to Madurai
13	என்னிடம் சிறிது பணம் இருக்கிறது	ennidam siridhu panam irukkiradhu	I have a little money
14	அந்த வீடு சாலையின் அருகில் இருக்கிறது	andha veedu saalaiyin arugil irukkiradhu	That house is near the road
15	நான் காலையில் ஏழு மணிக்கு எழுந்தேன்	naan kaalaiyil ezhu manikku ezhundhen	I woke up at seven in the morning
16	இந்தப் பையில் புத்தகங்கள் உள்ளன	indha paiyil puthagangal ullana	There are books in this bag
17	அவள் மதியம் சாப்பாடு சமைத்தாள்	aval madhiyam saappaadu samaiththaal	She cooked lunch in the afternoon
18	நண்பர்கள் மாலையில் வருகிறார்கள்	nanbargal maalaiyil varugiraargal	Friends are coming in the evening
19	இன்று வானிலை மாறிக்கொண்டே இருக்கிறது	indru vaanilai maarikkonde irukkiradhu	The weather keeps changing today
20	நாளை காலை கூட்டம் ஒன்பது மணிக்கு	naalai kaalai kuttam onbadhu manikku	Tomorrow morning the meeting is at nine
